td0 starting with the finishing point from td1 and learning rate 0.0015 * 1e-12

V(θ[2],x₀) = 0.5918 and V(θ[2],xₜ) = -325436.3473, Reward = -409747.6383, θ = [0.644428, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[3],x₀) = 0.5918 and V(θ[3],xₜ) = 0.5945, Reward = -20.5917, θ = [0.644428, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[4],x₀) = 0.5918 and V(θ[4],xₜ) = 64702.1097, Reward = 81805.7848, θ = [0.644428, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[5],x₀) = 0.5918 and V(θ[5],xₜ) = -64443.0727, Reward = -81893.4943, θ = [0.644428, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[6],x₀) = 0.5918 and V(θ[6],xₜ) = -192036.224, Reward = -231810.5332, θ = [0.644422, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[7],x₀) = 0.5918 and V(θ[7],xₜ) = -64700.1829, Reward = -82716.8418, θ = [0.644422, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[8],x₀) = 0.5918 and V(θ[8],xₜ) = -193967.9956, Reward = -236504.4774, θ = [0.644417, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[9],x₀) = 0.5918 and V(θ[9],xₜ) = -259062.3767, Reward = -364838.0196, θ = [0.644435, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[10],x₀) = 0.5918 and V(θ[10],xₜ) = -257.1072, Reward = 570.9546, θ = [0.644435, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[11],x₀) = 0.5918 and V(θ[11],xₜ) = 64702.8577, Reward = 81439.3242, θ = [0.644435, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[12],x₀) = 0.5918 and V(θ[12],xₜ) = 1289.5415, Reward = -268.1931, θ = [0.644435, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[13],x₀) = 0.5918 and V(θ[13],xₜ) = 0.5907, Reward = 1.0136, θ = [0.644435, 0.00890199, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[14],x₀) = 0.5918 and V(θ[14],xₜ) = 191394.1524, Reward = 217206.5324, θ = [0.644424, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[15],x₀) = 0.5918 and V(θ[15],xₜ) = 645.0988, Reward = -1431.9867, θ = [0.644424, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[16],x₀) = 0.5918 and V(θ[16],xₜ) = -64442.7172, Reward = -81874.8191, θ = [0.644424, 0.008902, 0.0209611, 0.0539413, 0.0100734, 0.00999115, 0.00999458]
V(θ[17],x₀) = 0.5918 and V(θ[17],xₜ) = 318342.7862, Reward = 393829.163, θ = [0.644415, 0.00890199, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[18],x₀) = 0.5918 and V(θ[18],xₜ) = -193578.8626, Reward = -233151.7366, θ = [0.644409, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[19],x₀) = 0.5918 and V(θ[19],xₜ) = -64441.1589, Reward = -81893.6682, θ = [0.644409, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[20],x₀) = 0.5918 and V(θ[20],xₜ) = 645.0831, Reward = -1624.1818, θ = [0.644409, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[21],x₀) = 0.5918 and V(θ[21],xₜ) = -260600.2262, Reward = -343243.804, θ = [0.644414, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[22],x₀) = 0.5918 and V(θ[22],xₜ) = 65087.291, Reward = 79449.1885, θ = [0.644413, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[23],x₀) = 0.5918 and V(θ[23],xₜ) = -64183.7629, Reward = -83008.3253, θ = [0.644413, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
V(θ[24],x₀) = 0.5918 and V(θ[24],xₜ) = -1288.154, Reward = 2349.0991, θ = [0.644413, 0.008902, 0.0209611, 0.0539413, 0.0100733, 0.00999115, 0.00999458]
